,dest,src,time
10074,87.2.226.150,221.231.144.223,13:42:03
10075,221.82.168.255,175.197.77.139,09:57:26
10076,180.173.171.238,216.213.8.238,12:51:03
10077,238.215.27.29,34.1.161.218,16:49:05
10078,101.192.182.85,79.97.148.176,12:13:56
10079,84.185.9.62,34.144.83.178,13:26:25
1008,217.181.246.89,31.195.186.9,13:02:06
10080,121.179.202.91,91.17.33.15,14:56:26
10081,88.236.255.82,208.58.135.45,23:03:17
10082,234.98.153.233,164.83.213.85,01:04:42
10083,80.58.189.245,140.237.186.107,07:58:42
10084,116.205.68.39,130.195.111.9,15:57:46
10085,195.81.14.242,172.192.34.99,13:42:36
10086,210.205.19.185,123.89.145.44,09:10:55
10087,186.27.197.13,241.55.11.40,14:30:01
10088,66.199.205.167,191.49.88.152,13:27:44
10089,231.55.109.99,63.69.109.10,02:53:31
1009,189.157.56.39,107.188.13.96,00:37:51
10090,248.22.185.61,119.97.111.85,14:58:02
10091,136.153.182.94,70.162.5.43,14:08:35
10092,241.129.83.238,148.232.184.255,22:24:35
10093,147.250.169.96,37.83.177.240,23:35:56
10094,49.20.11.207,232.184.78.99,12:02:42
10095,177.165.25.7,147.153.163.212,20:22:30
10096,224.25.160.247,124.90.104.245,01:00:31
10097,72.148.222.120,17.115.121.170,09:06:04
10098,113.223.46.209,247.245.31.168,23:19:45
10099,153.48.133.253,20.239.83.234,03:45:23
101,177.182.122.218,236.168.91.29,16:58:24
1010,220.104.63.33,175.102.84.161,19:39:06
10100,141.71.136.166,47.84.22.225,06:14:07
10101,230.236.160.167,87.71.213.210,10:28:05
10102,11.154.186.173,127.138.102.99,22:48:55
10103,105.69.103.130,42.132.167.163,08:34:24
10104,94.0.165.68,245.131.176.190,05:11:05
10105,253.16.91.40,22.148.179.22,03:43:57
10106,26.144.0.42,11.154.148.48,13:11:51
10107,65.93.56.17,255.17.175.8,10:56:07
10108,38.202.212.89,140.237.186.107,10:32:32
10109,45.240.76.78,40.67.98.16,18:47:14
1011,21.194.217.191,1.101.58.174,09:09:18
10110,25.19.185.121,143.23.154.111,03:33:58
10111,201.193.154.57,74.151.81.7,21:42:59
10112,164.236.4.67,217.66.29.117,19:57:31
10113,237.119.117.143,133.56.65.117,15:58:08
10114,255.196.240.137,208.33.196.207,18:03:49
10115,214.3.21.242,112.200.104.177,06:57:42
10116,29.110.62.162,237.31.36.62,16:06:54
10117,183.4.164.133,27.92.206.250,21:48:24
10118,231.100.65.139,199.18.222.106,23:15:00
10119,152.43.191.142,218.180.80.211,00:18:47
1012,154.82.158.223,94.163.132.13,04:49:31
10120,245.173.2.109,49.239.28.44,11:20:22
10121,223.199.144.52,246.64.106.79,22:05:18
10122,62.239.0.29,64.148.217.171,22:06:26
10123,125.30.153.21,178.174.187.128,21:24:17
10124,190.197.116.36,54.120.246.140,22:33:23
10125,179.178.28.150,224.8.181.70,22:22:31
10126,143.74.206.39,130.147.166.44,19:54:27
10127,158.135.111.152,206.163.119.54,13:53:27
10128,197.127.168.125,7.127.92.195,09:06:36
10129,178.52.193.159,71.189.76.206,03:59:55
1013,84.146.254.14,229.9.254.252,10:20:39
10130,202.98.37.254,9.41.64.49,19:08:53
10131,189.226.226.2,182.114.60.201,03:16:40
10132,148.226.130.49,155.255.187.160,17:18:54
10133,203.251.101.22,102.191.19.235,12:51:00
10134,126.43.36.91,254.65.194.202,21:38:03
10135,71.123.22.243,64.145.222.154,00:54:18
10136,221.230.26.157,92.38.179.146,13:46:58
10137,154.229.44.255,254.65.194.202,12:13:24
10138,127.63.104.195,17.97.34.113,05:30:07
10139,242.124.57.32,44.18.142.84,15:35:00
1014,22.40.121.112,204.185.200.53,15:43:57
10140,178.33.22.116,177.243.220.244,21:41:43
10141,152.230.87.22,238.136.179.217,03:09:24
10142,142.101.155.145,6.123.166.164,01:42:08
10143,172.50.209.79,206.92.198.192,09:15:58
10144,54.129.9.120,41.110.62.42,02:41:54
10145,2.203.22.117,199.203.214.207,10:36:46
10146,212.246.228.34,185.146.75.100,12:55:28
10147,45.148.96.253,129.250.251.238,13:56:48
10148,202.79.253.64,140.25.166.123,11:50:34
10149,126.116.10.33,37.83.177.240,00:31:15
1015,59.125.16.101,172.134.132.220,15:10:44
10150,30.130.66.174,73.223.154.81,07:38:52
10151,83.27.152.96,53.164.160.169,12:46:39
10152,133.53.38.49,46.171.178.107,22:44:43
10153,179.178.28.150,30.130.66.174,04:31:39
10154,108.243.221.251,47.107.35.204,01:13:00
10155,128.253.204.30,37.96.26.83,19:52:22
10156,83.171.206.46,122.67.158.213,23:33:45
10157,24.189.244.26,222.226.17.247,09:32:50
10158,214.72.115.173,8.32.61.106,11:38:23
10159,244.84.253.96,182.85.224.40,11:11:24
1016,30.133.190.250,148.93.218.173,00:55:07
10160,36.131.140.46,250.173.188.173,13:18:44
10161,59.190.177.159,187.16.97.84,03:27:08
10162,137.77.119.190,22.182.99.79,23:20:45
10163,113.101.9.123,102.26.250.241,00:34:29
10164,255.223.154.134,49.243.212.180,13:03:34
10165,146.61.110.29,227.195.248.185,14:55:18
10166,176.62.103.50,97.231.249.98,00:29:32
10167,253.121.102.199,170.228.83.128,14:20:53
10168,215.28.64.214,71.131.200.255,12:15:11
10169,11.119.97.170,37.83.177.240,11:04:33
1017,170.129.144.107,84.1.57.101,07:31:32
10170,23.162.171.52,245.11.60.251,10:39:27
10171,144.48.235.247,99.42.163.222,23:00:31
10172,19.239.150.86,255.185.129.139,02:02:53
10173,185.246.242.172,147.231.82.152,18:08:47
10174,126.187.140.65,49.127.27.158,04:36:13
10175,42.76.242.192,124.225.201.143,20:50:42
10176,159.47.122.185,100.139.115.154,18:36:15
10177,91.169.208.210,200.194.162.31,04:03:35
10178,0.222.173.92,97.252.89.84,08:21:47
10179,183.245.213.160,137.144.78.124,19:47:06
1018,170.152.181.213,130.147.166.44,10:24:05
10180,132.4.168.24,117.213.238.87,11:37:27
10181,132.229.12.248,186.165.100.94,20:29:57
10182,22.230.135.150,61.110.138.255,11:49:31
10183,108.213.231.89,138.134.214.104,12:09:43
10184,194.203.174.183,150.167.76.89,16:39:09
10185,152.40.12.203,211.69.119.250,19:32:32
10186,56.236.193.216,22.185.101.127,02:40:06
10187,141.104.91.173,114.18.232.133,07:09:34
10188,179.115.247.228,114.86.106.93,20:14:18
10189,80.88.241.109,86.100.53.93,20:00:29
1019,85.251.73.97,204.217.190.165,22:23:49
10190,17.229.56.231,93.130.135.238,06:35:56
10191,138.1.237.84,98.92.31.203,15:35:02
10192,194.114.7.241,221.106.215.116,13:16:08
10193,250.219.231.166,211.248.253.51,01:08:34
10194,57.75.251.174,243.187.135.206,07:21:23
10195,170.34.231.247,80.205.239.17,10:57:02
10196,170.200.48.28,93.121.29.199,05:44:18
10197,167.170.46.204,225.202.45.211,13:19:02
10198,199.9.39.190,189.42.152.69,10:44:57
10199,196.206.3.113,85.91.206.0,08:39:40
102,127.195.156.202,124.48.135.119,14:15:52
1020,31.73.69.27,222.160.46.220,15:49:51
10200,181.12.7.150,104.73.70.138,23:46:33
10201,246.37.189.161,83.230.84.132,22:38:37
10202,105.69.103.130,78.169.57.72,11:33:05
10203,1.17.42.88,145.137.117.109,20:55:21
10204,19.51.198.40,130.195.111.9,11:05:34
10205,185.139.58.243,91.64.199.1,07:00:46
10206,174.127.72.203,33.103.237.220,13:40:06
10207,226.251.229.216,35.211.136.212,13:02:58
10208,103.149.118.125,204.98.21.55,13:07:22
10209,96.133.141.81,121.18.116.31,05:34:26
1021,241.129.83.238,116.191.6.174,06:24:12
10210,228.70.129.19,91.17.33.15,05:16:45
10211,101.192.182.85,197.28.22.101,04:41:54
10212,75.141.196.175,250.172.4.79,03:36:53
10213,129.194.236.15,25.190.10.16,07:41:32
10214,168.146.91.223,196.160.113.206,09:30:37
10215,216.58.250.123,54.6.143.117,19:51:53
10216,180.90.100.244,104.136.231.11,12:30:09
10217,191.160.37.46,242.85.47.153,07:18:29
10218,199.74.242.222,1.203.2.97,03:03:57
10219,141.95.224.49,222.38.83.228,09:10:14
1022,206.230.213.133,74.90.132.94,14:04:45
10220,203.220.125.73,204.185.200.53,07:12:47
10221,105.195.192.7,29.204.32.88,23:08:41
10222,250.100.174.193,24.118.69.172,07:43:04
10223,153.247.208.115,19.151.121.143,08:29:39
10224,170.129.38.176,207.140.4.233,13:03:19
10225,204.64.234.195,229.25.136.238,18:19:39
10226,159.71.125.143,63.69.109.10,07:12:00
10227,58.38.98.20,75.60.20.38,13:37:43
10228,161.81.37.242,180.22.95.78,15:12:04
10229,0.151.12.171,141.152.79.104,11:32:16
1023,170.152.156.14,89.176.115.145,11:02:44
10230,98.208.121.221,42.132.167.163,02:09:44
10231,249.103.240.1,92.38.179.146,06:00:49
10232,113.219.222.44,234.89.80.246,16:17:46
10233,83.27.152.96,234.98.153.233,11:13:33
10234,156.253.183.223,34.184.190.229,12:58:19
10235,203.12.136.135,126.48.189.50,05:15:08
10236,97.101.235.117,209.143.98.182,20:00:52
10237,181.192.169.190,164.115.102.108,06:12:55
10238,248.17.70.139,103.202.108.132,14:48:11
10239,167.102.247.107,18.65.173.139,18:19:22
1024,35.127.239.50,39.224.66.245,17:54:17
10240,63.108.210.20,196.154.234.249,06:28:06
10241,87.222.232.50,238.158.198.95,17:37:04
10242,134.231.80.249,226.107.108.129,02:30:16
10243,248.58.191.7,55.191.175.166,07:24:37
10244,30.19.113.214,220.148.132.228,18:00:58
10245,46.236.72.115,142.59.210.249,05:02:50
10246,215.47.167.18,221.129.89.207,19:29:59
10247,42.112.71.53,0.234.166.205,08:18:18
10248,170.34.231.247,155.234.200.168,16:04:09
10249,231.100.65.139,110.209.220.202,06:50:12
1025,68.199.156.78,173.3.17.91,13:10:30
10250,160.99.175.168,38.6.182.212,13:07:17
10251,140.213.89.17,184.192.125.151,12:55:12
10252,222.10.84.49,169.239.113.42,11:57:15
10253,216.123.248.95,133.96.41.57,21:25:45
10254,179.121.136.210,237.119.117.143,14:58:49
10255,235.44.252.224,255.185.129.139,01:50:52
10256,205.32.96.64,58.113.73.88,13:45:29
10257,191.173.239.254,56.224.255.63,01:16:04
10258,179.178.28.150,86.108.77.191,10:57:56
10259,105.101.0.40,102.248.158.54,15:08:12
1026,123.255.221.203,227.52.197.172,18:29:28
10260,221.232.220.232,151.54.170.231,23:49:36
10261,79.248.244.127,96.225.41.98,12:40:16
10262,69.225.101.133,84.182.151.212,05:49:24
10263,227.223.240.7,103.215.119.250,11:46:05
10264,119.60.223.57,96.63.67.184,21:28:23
10265,205.240.57.35,17.164.93.213,10:46:30
10266,113.46.201.166,12.14.16.211,05:39:31
10267,202.233.101.70,7.103.28.88,05:38:30
10268,172.22.30.60,153.77.86.215,15:50:53
10269,191.49.88.152,33.110.141.87,23:50:37
1027,220.198.190.123,83.248.250.171,11:54:45
10270,174.61.209.52,17.226.102.212,21:32:37
10271,4.117.101.141,225.26.121.194,03:09:50
10272,135.250.255.35,170.228.83.128,10:35:49
10273,227.81.150.19,69.151.237.182,17:52:32
10274,156.176.131.93,181.70.225.106,06:53:41
10275,157.250.71.178,190.78.255.255,15:04:39
10276,45.248.73.133,192.124.244.240,23:43:42
10277,45.240.76.78,49.119.252.155,03:14:38
10278,172.109.246.26,112.216.64.150,09:04:18
10279,143.75.132.206,155.234.200.168,12:08:47
1028,134.210.173.74,3.126.148.255,00:41:42
10280,59.98.159.220,54.120.246.140,02:33:13
10281,16.176.238.44,250.173.188.173,02:00:13
10282,129.194.236.15,117.213.238.87,08:07:05
10283,120.70.17.4,241.100.253.194,09:08:38
10284,191.173.239.254,233.14.35.50,08:35:51
10285,82.215.179.157,106.121.36.151,01:00:27
10286,154.229.44.255,174.22.198.200,15:12:40
10287,242.191.11.71,117.46.146.238,10:38:36
10288,28.120.116.50,219.146.230.101,00:30:07
10289,33.18.185.82,148.33.222.230,10:38:01
1029,150.198.88.89,196.237.232.42,15:43:00
10290,130.18.255.216,215.114.61.107,17:34:51
10291,207.163.180.224,255.185.129.139,22:41:07
10292,12.4.36.57,79.97.148.176,09:50:20
10293,77.86.114.37,83.248.250.171,05:22:48
10294,113.53.186.155,11.22.242.25,03:47:07
10295,130.18.255.216,138.117.214.197,18:28:36
10296,250.89.132.88,151.154.97.228,16:13:13
10297,187.170.115.74,117.84.71.133,13:35:19
10298,163.101.47.41,254.65.194.202,22:10:58
10299,15.17.32.112,34.226.9.41,08:46:09
103,101.74.133.14,88.236.255.82,01:45:38
1030,184.131.142.249,204.111.248.168,02:34:27
10300,233.64.164.166,198.150.251.64,17:56:02
10301,14.102.63.152,245.106.219.91,23:56:35
10302,175.28.58.11,94.67.22.120,10:53:40
10303,52.32.102.58,48.22.128.154,18:05:03
10304,194.114.7.241,106.213.27.206,03:44:19
10305,131.23.117.11,147.135.18.144,03:02:35
10306,15.97.26.245,223.198.212.23,23:19:48
10307,166.35.18.237,248.145.65.41,06:46:26
10308,96.182.207.235,79.97.148.176,20:42:09
10309,102.139.188.35,16.9.142.82,15:42:19
1031,80.157.172.235,162.4.213.25,16:08:24
10310,179.178.28.150,168.122.219.118,17:11:23
10311,109.156.163.75,96.233.151.226,03:55:21
10312,100.50.138.3,139.166.231.226,04:12:51
10313,133.40.134.128,91.13.221.28,02:27:33
10314,247.81.53.181,223.179.214.214,05:21:05
10315,63.114.104.126,17.232.21.230,06:36:42
10316,159.47.122.185,231.177.148.105,09:33:33
10317,200.252.173.137,88.247.156.198,07:49:42
10318,128.183.187.83,164.85.32.255,06:57:15
10319,142.122.17.98,48.96.120.130,10:49:26
1032,231.100.65.139,160.78.51.215,15:00:00
10320,92.92.163.40,30.43.72.221,19:40:56
10321,168.234.253.128,138.111.224.164,10:45:01
10322,243.135.155.88,14.49.143.200,14:43:44
10323,218.167.205.111,4.117.101.141,04:57:47
10324,101.192.182.85,61.64.33.159,23:28:04
10325,196.206.3.113,43.94.200.5,01:55:12
10326,240.175.223.80,133.4.62.1,20:44:32
10327,45.240.76.78,90.206.58.106,23:26:02
10328,46.247.193.217,58.179.255.195,00:19:57
10329,221.39.193.122,122.67.158.213,00:55:21
1033,224.75.111.147,27.96.42.116,09:29:05
10330,38.132.60.77,174.51.116.254,02:41:18
10331,169.55.114.46,155.234.200.168,11:22:27
10332,117.234.193.107,164.148.28.124,22:44:09
10333,54.119.130.120,198.102.93.199,06:05:25
10334,64.135.125.207,38.66.37.121,22:38:38
10335,100.105.14.50,224.232.191.153,07:15:34
10336,163.247.173.223,154.127.158.77,09:54:12
10337,226.84.69.165,35.120.91.245,00:10:06
10338,116.64.113.179,123.69.129.20,10:52:01
10339,120.124.245.183,232.54.32.26,20:44:47
1034,52.150.13.234,117.213.238.87,07:08:56
10340,205.32.96.64,92.38.179.146,08:58:45
10341,154.229.44.255,79.33.185.219,11:57:14
10342,250.100.174.193,12.171.188.38,20:58:58
10343,114.67.7.68,206.197.28.38,19:02:03
10344,66.66.133.135,200.194.162.31,19:26:58
10345,144.13.139.131,132.236.3.210,23:45:18
10346,107.107.95.132,207.38.150.75,04:01:49
10347,143.71.80.48,250.173.188.173,22:30:19
10348,194.114.7.241,211.23.86.82,10:15:32
10349,11.89.54.244,254.65.194.202,02:05:20
1035,138.22.166.192,143.23.154.111,19:10:30
10350,194.114.7.241,166.195.88.176,22:08:44
10351,231.100.65.139,154.15.184.183,19:41:21
10352,172.80.133.251,91.194.151.141,18:36:02
10353,42.210.180.214,101.192.182.85,09:49:22
10354,0.97.14.71,59.52.158.165,19:46:09
10355,231.207.8.116,11.88.49.54,09:26:10
10356,88.229.86.79,100.47.175.237,13:43:43
10357,237.87.73.104,189.52.241.157,02:42:58
10358,214.236.93.226,168.147.21.88,09:47:46
10359,114.9.1.134,132.173.47.39,13:02:25
1036,228.176.163.152,126.81.197.229,18:59:34
10360,48.25.45.15,207.147.10.100,02:12:07
10361,188.74.173.72,187.215.192.158,21:22:12
10362,46.202.68.82,44.224.52.48,01:01:39
10363,194.114.7.241,75.111.89.199,17:31:16
10364,129.190.54.192,195.1.203.135,08:18:11
10365,42.112.240.230,4.252.135.152,11:23:03
10366,51.185.116.66,25.143.115.223,16:45:53
10367,190.138.99.148,119.225.55.47,18:20:32
10368,104.2.26.72,242.159.203.154,18:55:06
10369,7.254.54.181,239.226.244.234,08:35:50
1037,14.15.82.200,25.2.206.185,14:11:10
10370,88.90.186.214,172.218.207.117,00:27:25
10371,227.112.41.203,34.1.254.9,05:58:01
10372,18.35.175.60,169.71.192.254,09:42:02
10373,30.105.9.213,164.83.213.85,12:35:09
10374,59.98.159.220,37.83.177.240,00:07:05
10375,45.147.34.160,166.56.238.117,16:21:22
10376,102.143.27.14,122.154.244.132,12:44:03
10377,172.215.235.103,2.217.224.150,02:25:13
10378,219.231.114.246,219.190.74.12,15:50:25
10379,70.12.162.153,152.80.245.104,16:24:25
1038,163.211.99.148,111.140.43.146,18:22:48
10380,65.215.64.64,114.18.232.133,12:57:57
10381,68.180.94.63,102.124.59.61,18:22:36
10382,182.213.16.100,228.248.187.184,18:27:08
10383,146.145.50.71,94.227.190.205,02:05:51
10384,79.252.75.8,88.226.141.102,18:21:58
10385,174.127.72.203,152.80.245.104,03:15:15
10386,77.20.24.48,170.228.83.128,17:56:09
10387,134.209.79.67,91.17.33.15,14:39:30
10388,14.247.17.182,72.169.80.114,00:58:18
10389,94.52.39.61,55.27.60.82,20:31:33
1039,174.22.198.200,137.195.205.136,05:00:17
10390,119.174.168.138,253.224.138.246,00:37:28
10391,96.244.132.170,87.189.236.116,17:00:13
10392,10.125.126.193,16.7.159.48,23:29:19
10393,51.185.116.66,219.102.16.166,15:00:07
10394,73.105.140.217,73.93.113.232,01:14:38
10395,231.100.65.139,59.158.248.51,15:30:00
10396,124.59.252.116,146.240.11.77,10:17:43
10397,59.43.162.175,21.165.207.45,08:50:13
10398,89.152.203.209,161.253.23.151,12:31:12
10399,66.240.157.236,74.237.241.178,13:58:14
104,68.204.252.40,117.213.238.87,21:44:53
1040,26.4.64.229,231.90.60.203,00:35:50
10400,241.41.38.13,122.123.126.205,13:49:22
10401,101.192.182.85,247.67.199.72,09:17:11
10402,38.132.60.77,112.201.18.164,10:01:23
10403,85.66.243.105,135.28.239.154,14:41:58
10404,247.177.254.58,26.201.165.3,09:18:03
10405,77.130.28.8,4.211.7.225,10:45:16
10406,104.146.137.163,217.195.43.143,03:15:17
10407,14.83.55.227,87.174.239.182,00:03:30
10408,148.244.133.44,148.216.161.224,13:20:50
10409,131.108.207.93,19.97.26.65,08:19:26
1041,53.189.82.38,167.94.146.163,12:04:40
10410,200.124.29.154,91.17.33.15,20:13:35
10411,202.233.101.70,71.5.113.148,14:56:38
10412,85.134.185.196,163.95.78.80,21:27:43
10413,45.240.76.78,109.209.49.228,06:50:11
10414,115.249.8.149,96.233.151.226,02:21:28
10415,25.19.185.121,111.157.8.36,06:31:02
10416,17.229.56.231,74.18.89.18,22:43:31
10417,226.169.20.245,140.237.186.107,05:38:23
10418,58.183.69.69,133.210.141.2,13:32:32
10419,220.9.73.232,224.66.107.108,16:43:11
1042,192.34.84.254,217.59.128.120,16:44:46
10420,122.40.70.226,204.185.200.53,13:36:04
10421,84.146.254.14,59.66.131.124,18:22:09
10422,170.152.156.14,63.132.198.55,15:46:37
10423,173.102.24.98,72.150.30.213,16:46:29
10424,7.254.54.181,126.132.119.197,15:26:52
10425,226.52.198.163,255.185.129.139,21:40:36
10426,199.185.216.132,117.213.238.87,20:26:14
10427,46.13.109.222,91.46.173.161,12:26:59
10428,61.124.130.166,252.155.50.255,21:07:03
10429,197.112.96.60,180.126.71.63,19:37:30
1043,50.140.241.191,128.21.22.65,15:28:24
10430,186.79.176.230,110.224.31.145,23:24:15
10431,170.149.189.8,99.138.194.58,15:35:12
10432,236.140.107.166,231.75.14.135,16:09:14
10433,221.183.68.157,245.11.60.251,11:56:23
10434,129.33.190.141,62.9.16.100,15:36:34
10435,106.106.104.180,38.190.25.73,21:15:08
10436,84.146.254.14,78.155.63.128,12:48:02
10437,4.15.227.131,143.209.59.108,00:26:07
10438,154.229.44.255,220.65.148.72,07:11:44
10439,36.195.95.44,197.76.6.56,20:11:43
1044,212.221.194.199,37.100.234.78,18:32:18
10440,240.187.3.198,185.169.119.242,00:23:32
10441,140.237.216.204,27.225.36.162,12:40:55
10442,158.87.247.102,204.173.34.225,17:47:49
10443,70.58.248.40,22.185.101.127,01:08:30
10444,182.213.16.100,49.155.182.177,00:11:04
10445,96.133.141.81,238.95.110.250,12:09:46
10446,10.157.209.218,142.111.15.37,15:56:49
10447,163.77.80.45,181.175.206.224,14:15:49
10448,167.88.245.230,249.137.72.145,00:57:16
10449,205.32.96.64,162.10.255.199,11:13:05
1045,57.100.196.122,74.28.226.58,14:17:35
10450,67.93.112.95,221.237.111.54,05:18:05
10451,30.219.188.121,106.12.222.178,15:07:54
10452,246.37.189.161,17.133.114.103,07:51:45
10453,222.31.56.79,117.46.146.238,18:18:57
10454,122.232.91.152,242.136.251.16,13:33:12
10455,71.150.149.96,132.54.223.39,20:59:50
10456,195.77.184.24,204.20.183.50,07:22:41
10457,37.177.93.88,112.223.251.32,10:45:58
10458,226.231.191.93,209.244.188.37,09:12:56
10459,213.88.30.86,127.122.175.171,20:55:38
1046,237.16.249.188,101.240.32.153,23:48:43
10460,237.82.181.130,10.112.74.69,21:58:27
10461,90.110.170.67,248.176.108.109,06:47:01
10462,163.47.113.26,63.250.214.195,16:22:08
10463,47.9.133.48,186.27.111.78,00:30:40
10464,78.195.246.145,102.230.60.118,09:51:28
10465,202.233.101.70,150.235.106.96,17:20:11
10466,93.78.59.13,166.186.125.184,22:42:06
10467,162.160.253.242,43.229.69.83,15:20:31
10468,169.185.141.9,72.41.237.150,17:21:23
10469,87.44.19.177,64.99.163.189,14:17:32
1047,113.53.186.155,118.77.131.165,21:20:27
10470,3.109.115.11,244.245.250.198,15:29:48
10471,177.216.232.241,5.91.203.249,04:15:30
10472,218.69.165.149,37.172.229.18,07:50:45
10473,96.247.72.171,27.235.250.214,05:53:28
10474,154.229.44.255,126.196.30.186,22:11:06
10475,118.76.29.12,117.99.160.78,05:56:45
10476,227.200.49.137,162.10.255.199,21:24:11
10477,212.127.250.149,19.182.138.240,00:21:57
10478,109.156.212.233,223.125.36.166,21:33:41
10479,234.98.153.233,56.108.46.21,07:30:27
1048,163.162.130.125,184.223.67.229,13:22:06
10480,20.158.64.95,132.238.62.60,05:36:59
10481,26.76.26.141,57.81.90.189,23:06:47
10482,41.18.96.244,153.108.13.195,04:09:16
10483,253.129.62.181,132.236.3.210,16:25:05
10484,28.239.186.83,145.221.65.156,15:24:04
10485,45.215.210.39,152.61.144.6,03:47:44
10486,202.233.101.70,230.40.12.39,14:51:43
10487,109.117.178.163,43.32.41.175,03:32:40
10488,103.221.59.155,240.53.99.181,00:48:26
10489,25.19.185.121,81.171.241.4,19:29:18
1049,173.255.31.125,95.166.81.170,03:17:44
10490,80.170.236.138,99.145.23.109,09:59:58
10491,98.236.115.39,90.207.54.58,09:52:43
10492,166.1.223.230,25.143.115.223,11:29:47
10493,191.173.239.254,52.38.15.174,16:05:07
10494,77.20.114.88,13.202.107.182,02:08:21
10495,123.110.103.213,143.23.154.111,20:24:20
10496,32.147.158.72,218.227.33.185,21:41:35
10497,139.65.87.108,114.86.106.93,05:38:58
10498,114.9.1.134,97.252.89.84,23:01:54
10499,241.129.83.238,114.18.232.133,10:37:01
105,130.81.39.93,4.192.82.35,18:03:09
1050,8.27.92.231,132.54.223.39,16:36:38
